DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,VUGA(Gas),VUOI(CO2),VUWA(Water),DTDRT
4277.5,2.64232,68.25328346,0.0091,0.006868,0.760175999,0.810884,0.169312,0.010704,0,0.004212,0.004888,120.3995123
4277.6,2.66384,67.98059842,0,0.0038,1,0.8373,0.1404,0.0223,0,0,0,120.4282189
4277.7,2.6656,67.58531724,0,0.0038,1,0.839796,0.137088,0.023116,0,0,0,120.3189338
4277.8,2.6678,66.96447008,0,0.0038,1,0.840436,0.13158,0.027984,0,0,0,119.8583926
4277.9,2.67684,66.00023745,0,0.0038,1,0.801288,0.164636,0.034076,0,0,0,118.8141451
4278,2.661691098,64.76084337,0,0.0038,1,0.729923034,0.234559689,0.035469005,0,0,0,117.2509267
4278.1,2.628805833,63.43168606,0.006048307,0.00555596,0.878253441,0.597332145,0.378691382,0.017876944,0,0.001512077,0.00453623,115.2365502
4278.2,2.60767,62.2483164,0.013919,0.008037,0.796852,0.450378,0.535752,0,0,0.002757,0.011162,112.98255
4278.3,2.595589101,61.31820781,0.015792363,0.008846181,0.845102546,0.403602188,0.580705449,0,0,0.002448727,0.013343636,110.7813347
4278.4,2.582836718,60.7768275,0.020199363,0.011507845,0.896121465,0.347050817,0.632801593,0,0,0.001873039,0.018326324,108.9664454
4278.5,2.56868,60.64801673,0.031512,0.02212,0.91356,0.263448,0.70504,0,0,0.002976,0.028488,107.727332
4278.6,2.56496,60.75720976,0.040248,0.032956,0.8886,0.224584,0.735168,0,0,0.00442,0.035776,106.8938192
4278.7,2.56936,61.11703779,0.042176,0.036504,0.92806,0.197456,0.760368,0,0,0.002988,0.039188,106.5078918
4278.8,2.57108,61.64576661,0.042992,0.038036,0.958932,0.177764,0.779292,0,0,0.00176,0.041232,106.4423244
4278.9,2.56804,62.21405486,0.049296,0.056544,0.907868,0.164092,0.786616,0,0,0.004956,0.04434,106.4686793
4279,2.564103956,62.88797887,0.061354216,0.106704998,0.805710335,0.144873996,0.793720055,0,0,0.012175253,0.049178963,106.5486861
4279.1,2.545393113,63.60399481,0.068760689,0.152129367,0.749017315,0.136224202,0.793015477,0.002048404,0,0.017265603,0.051446315,106.6378532
4279.2,2.52018,64.20449777,0.071772,0.178632,0.745019,0.13338,0.790307,0.004641,0,0.018259,0.053462,106.7311365
4279.3,2.51002,64.61257886,0.074523,0.206902,0.758907,0.125331,0.794852,0.005394,0,0.017947,0.056527,106.8446602
4279.4,2.511923918,64.83902299,0.075997464,0.223659423,0.761148732,0.120371556,0.797641124,0.006041124,0,0.018148732,0.057846196,106.983938
4279.5,2.521270284,64.95961416,0.074894176,0.211650075,0.774078198,0.117425983,0.804318517,0.003313091,0,0.016945943,0.058,107.1389705
4279.6,2.53856,64.95715955,0.072688,0.187832,0.791836,0.11208,0.815132,0,0,0.01512,0.057568,107.295818
4279.7,2.54376,64.85415436,0.083604,0.415451999,0.70802,0.081052,0.835292,0,0,0.025544,0.05806,107.436696
4279.8,2.5226,64.67774121,0.097076,0.693056,0.607704,0.045724,0.857248,0,0,0.038072,0.058956,107.5564719
4279.9,2.50028,64.38928147,0.097172,0.695608,0.671568,0.041724,0.861156,0,0,0.031936,0.065184,107.7045325
4280,2.510374692,64.03516233,0.094766005,0.614415997,0.794618244,0.04847804,0.856755955,0,0,0.019577171,0.075188834,107.9392013
4280.1,2.535827364,63.74128392,0.091190693,0.50679007,0.856099679,0.05657478,0.851990693,0.000243834,0,0.013178362,0.078061098,108.2906921
4280.2,2.52781,63.62747543,0.087834,0.42377,0.869244,0.063865,0.845008,0.003342,0,0.01151,0.076375,108.8190757
4280.3,2.5071,63.70975656,0.086296,0.388518,0.863329,0.06869,0.838275,0.006839,0,0.011784,0.074512,109.4931103
4280.4,2.499563159,63.94404858,0.086597474,0.395136841,0.85220179,0.069931052,0.835781579,0.007692421,0,0.012794947,0.073802526,110.2464224
4280.5,2.48783476,64.30703882,0.088195381,0.444442723,0.837413379,0.067468047,0.83806962,0.006166952,0,0.014350667,0.073844714,111.0330027
4280.6,2.48184,64.72939717,0.091624,0.548216,0.812472,0.061264,0.844396,0.002712,0,0.017192,0.074432,111.7943145
4280.7,2.48024,65.17607218,0.095136,0.66078,0.75868,0.055516,0.848828,0.000572,0,0.023068,0.072068,112.4632719
4280.8,2.48504,65.51926357,0.098048,0.771496,0.680436,0.051828,0.850124,0,0,0.0314,0.066648,112.9441688
4280.9,2.49076,65.68922598,0.099208,0.8191,0.643248,0.053452,0.84734,0,0,0.035348,0.06386,113.2203949
4281,2.48592,65.77576115,0.098376,0.783792,0.643632,0.058736,0.842888,0,0,0.035064,0.063312,113.2363344
4281.1,2.489447745,65.8316404,0.095914447,0.689817132,0.654472538,0.063775102,0.840310451,0,0,0.033203996,0.062710451,113.010801
4281.2,2.486611443,65.88437685,0.093609906,0.606821947,0.68043766,0.067316567,0.839073527,4.88E-05,0,0.029942101,0.063667805,112.702256
4281.3,2.47759,65.95168176,0.093543,0.588796,0.69897,0.068014,0.838443,5.10E-05,0,0.028151,0.065392,112.452771
4281.4,2.486160251,66.04806025,0.086978683,0.432118443,0.737153735,0.080606476,0.824762399,0.007652442,0,0.02312835,0.063850333,112.3968015
4281.5,2.508201354,66.17162869,0.07998946,0.276890136,0.758332428,0.091222972,0.812315676,0.016471892,0,0.019347298,0.060642162,112.5256985
4281.6,2.5074,66.34424803,0.0803,0.281696,0.729044,0.087264,0.815136,0.0173,0,0.021764,0.058536,112.7126152
4281.7,2.49172,66.54740709,0.080396,0.283528,0.744284,0.086948,0.814972,0.017684,0,0.020588,0.059856,112.7802544
4281.8,2.48456,66.73370737,0.090484,0.565623999,0.74666,0.070104,0.829952,0.009412,0,0.023244,0.067292,112.6519128
4281.9,2.48156,66.86943333,0.10058,0.83608,0.70052,0.056696,0.842672,0,0,0.030088,0.070444,112.2525
4282,2.47712,66.94400465,0.099656,0.794632,0.666152,0.062,0.838344,0,0,0.033236,0.066368,111.6865027
4282.1,2.470622267,66.9862812,0.101044107,0.859194622,0.643795627,0.060793667,0.838162227,0,0,0.036009827,0.06503428,111.1712563
4282.2,2.467,66.9997384,0.104503994,1.035923662,0.637512434,0.050675057,0.844820949,0,0,0.037882592,0.066621402,110.9272791
4282.3,2.47043,67,0.107821,1.237454,0.632394,0.034736,0.856855,0.000588,0,0.039629,0.068192,111.0668921
