DEPTH,BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3202.9,2.494999886,71.3860561,0.08743798,0.372597009,1.0,0.3611069,0.5514551,0.0,0.0,0.0,0.08743798
3203.0,2.496999979,71.27313284,0.08439059,0.299383998,1.0,0.3811624,0.534447,0.0,0.0,0.0,0.08439059
3203.1,2.507999897,71.20173014,0.08511896,0.31545499,1.0,0.354467,0.5604141,0.0,0.0,0.0,0.08511896
3203.2,2.493000031,71.1551788,0.09551381,0.665315986,1.0,0.3056489,0.5988373,0.0,0.0,0.0,0.09551381
3203.3,2.493000031,71.13745376,0.09407134,0.599865973,1.0,0.3098161,0.5961126,0.0,0.0,0.0,0.09407134
3203.4,2.482000113,71.13169681,0.0992121,0.867626011,1.0,0.3116691,0.5891188,0.0,0.0,0.0,0.0992121
3203.5,2.483999968,71.1301251,0.09891659,0.849413991,1.0,0.3071353,0.5939481,0.0,0.0,0.0,0.09891659
3203.6,2.480000019,71.12766727,0.09823228,0.808694005,1.0,0.3165195,0.5852482,0.0,0.0,0.0,0.09823228
3203.7,2.494999886,71.12668108,0.08688213,0.358020991,1.0,0.4007592,0.5123587,0.0,0.0,0.0,0.08688213
3203.8,2.503000021,71.13011042,0.08103055,0.235217005,1.0,0.4380173,0.4809522,0.0,0.0,0.0,0.08103055
3203.9,2.50999999,71.15529294,0.08681899,0.356402993,1.0,0.3907161,0.5224649,0.0,0.0,0.0,0.08681899
3204.0,2.505000114,71.21452871,0.0844837,0.301391006,1.0,0.3570595,0.5584568,0.0,0.0,0.0,0.0844837
3204.1,2.500999928,71.30236386,0.08675671,0.354811996,1.0,0.3445271,0.5687162,0.0,0.0,0.0,0.08675671
3204.2,2.515000105,71.44725044,0.07851843,0.196401998,1.0,0.3715498,0.5499318,0.0,0.0,0.0,0.07851843
3204.3,2.526000023,71.62000888,0.06551064,0.077195004,1.0,0.4722262,0.4622632,0.0,0.0,0.0,0.06551064
3204.4,2.539999962,71.81169438,0.05545591,0.037505999,1.0,0.5256685,0.4188756,0.0,0.0,0.0,0.05545591
3204.5,2.556999922,72.00179794,0.04814063,0.022182999,1.0,0.5501084,0.4017509,0.0,0.0,0.0,0.04814063
3204.6,2.572999954,72.16887114,0.04623795,0.019351,1.0,0.5461944,0.4075677,0.0,0.0,0.0,0.04623795
3204.7,2.575999975,72.31288967,0.04297695,0.015312,1.0,0.5878961,0.3691269,0.0,0.0,0.0,0.04297695
3204.8,2.596999884,72.39956009,0.03341156,0.007706,1.0,0.6836007,0.2829877,0.0,0.0,0.0,0.03341156
3204.9,2.605999947,72.46531306,0.02757407,0.005068,1.0,0.711813,0.2606129,0.0,0.0,0.0,0.02757407
3205.0,2.599999905,72.51226475,0.03743812,0.010288,1.0,0.6644706,0.2980913,0.0,0.0,0.0,0.03743812
3205.1,2.588999987,72.56029566,0.0565533,0.040580001,1.0,0.566919,0.3765277,0.0,0.0,0.0,0.0565533
3205.2,2.562000036,72.61648156,0.08340009,0.278833985,1.0,0.4200533,0.4965466,0.0,0.0,0.0,0.08340009
3205.3,2.493999958,72.68415036,0.1125684,2.26336503,1.0,0.2799987,0.607433,0.0,0.0,0.0,0.1125684
3205.4,2.423000097,72.74739442,0.1417706,18.41707039,1.0,0.16864,0.6895894,0.0,0.0,0.0,0.1417706
3205.5,2.394999981,72.78725026,0.1529446,41.07761002,1.0,0.1082657,0.7387897,0.0,0.0,0.0,0.1529446
3205.6,2.405999899,72.78824748,0.1471997,27.19518089,1.0,0.1110733,0.7417269,0.0,0.0,0.0,0.1471997
3205.7,2.40899992,72.69653454,0.146401,25.67964935,1.0,0.1056604,0.7479386,0.0,0.0,0.0,0.146401
3205.8,2.404000044,72.54640107,0.1469631,26.73712921,1.0,0.1064987,0.7465381,0.0,0.0,0.0,0.1469631
